X,Y,Z,R
533440.71,4840341.02,155.67,980.0
533440.68,4840340.83,155.55,1230.0
533440.59,4840340.6,155.66,810.0
533440.73,4840340.7,155.48,1180.0
533440.74,4840340.59,155.45,1030.0
533440.76,4840341.15,155.45,920.0
533440.72,4840340.96,155.39,920.0
533440.87,4840341.25,155.33,850.0
533440.85,4840341.04,155.29,830.0
533440.86,4840341.31,155.17,770.0
533440.88,4840341.12,155.1,800.0
533440.85,4840341.39,154.99,680.0
533440.89,4840341.13,154.96,770.0
533440.76,4840340.74,155.36,840.0
533440.56,4840340.36,155.6,800.0
533440.67,4840340.15,155.51,1000.0
533440.66,4840340.09,155.41,870.0
533440.59,4840339.93,155.61,850.0
533440.57,4840339.79,155.61,800.0
533440.78,4840340.89,155.09,770.0
533440.77,4840340.74,155.25,770.0
533440.82,4840340.62,154.98,880.0
533440.8,4840340.49,155.13,720.0
533440.79,4840340.32,155.3,1000.0
533440.83,4840340.43,154.96,920.0
533440.86,4840340.21,154.8,900.0
533440.88,4840340.01,155.06,900.0
533440.86,4840340.1,155.0,830.0
533440.88,4840340.1,154.77,880.0
533441.58,4840341.38,154.73,1050.0
533441.57,4840341.46,154.56,800.0
533441.57,4840341.06,154.74,960.0
533441.63,4840340.87,154.41,850.0
533441.61,4840341.07,154.51,630.0
533441.6,4840341.28,154.57,800.0
533441.63,4840341.19,154.42,650.0
533441.61,4840341.08,154.39,650.0
533441.44,4840340.76,154.41,850.0
533441.47,4840340.84,154.23,680.0
533441.42,4840340.6,154.24,650.0
533440.1,4840338.86,155.49,370.0
533439.98,4840338.95,155.24,350.0
533440.58,4840339.43,155.38,450.0
533440.77,4840339.61,155.21,540.0
533440.83,4840339.93,154.87,710.0
533440.85,4840339.96,154.74,800.0
533440.74,4840339.57,155.09,470.0
533440.42,4840339.43,155.02,390.0
533440.63,4840339.78,154.84,560.0
533440.6,4840339.85,154.75,600.0
533440.47,4840339.91,154.67,550.0
533440.12,4840339.5,154.8,450.0
533440.11,4840339.73,154.61,560.0
533440.03,4840339.84,154.48,780.0
533440.07,4840339.96,154.33,700.0
533440.14,4840340.01,154.1,700.0
533440.16,4840340.05,153.96,700.0
533440.27,4840340.09,153.92,690.0
533440.76,4840340.07,154.6,730.0
533441.12,4840340.26,154.41,750.0
533441.21,4840340.3,154.19,610.0
533440.57,4840340.09,154.32,740.0
533440.86,4840340.17,154.34,720.0
533440.89,4840340.18,154.06,650.0
533439.65,4840340.01,154.22,680.0
533439.62,4840340.05,154.02,730.0
533439.66,4840340.13,153.78,680.0
533439.25,4840340.01,154.18,670.0
533439.28,4840340.05,154.03,750.0
533439.1,4840340.1,153.82,700.0
533438.87,4840340.03,154.06,640.0
533438.9,4840340.06,153.91,650.0
533439.36,4840340.15,153.73,780.0
533438.72,4840339.72,154.27,690.0
533438.72,4840339.84,154.15,650.0
533438.63,4840339.64,154.12,700.0
533438.65,4840339.88,153.89,680.0
533438.68,4840339.79,153.78,710.0
533438.72,4840339.59,153.63,800.0
533438.61,4840339.49,154.01,780.0
533438.7,4840339.95,153.71,800.0
533438.78,4840339.77,153.5,660.0
533438.86,4840339.99,153.48,600.0
533438.79,4840339.82,153.19,700.0
533438.75,4840339.68,153.42,630.0
533438.55,4840339.39,153.81,770.0
533438.66,4840339.54,153.51,670.0
533438.69,4840339.66,153.2,620.0
533438.4,4840339.19,154.09,690.0
533438.01,4840339.28,153.98,630.0
533437.91,4840339.28,153.84,610.0
533438.16,4840339.37,153.78,590.0
533438.27,4840339.36,153.87,670.0
533438.52,4840339.26,153.49,790.0
533438.36,4840339.22,153.55,660.0
533437.91,4840339.12,153.56,620.0
533438.49,4840339.31,153.35,750.0
533438.26,4840339.24,153.34,700.0
533437.85,4840339.13,153.4,650.0
533438.53,4840339.15,153.0,650.0
533438.18,4840338.72,152.91,620.0
533438.37,4840338.97,152.86,630.0
533438.01,4840338.52,152.92,540.0
533438.52,4840339.16,152.75,520.0
533438.31,4840339.04,152.75,530.0
533438.14,4840338.85,152.79,500.0
533437.55,4840338.81,153.6,750.0
533437.28,4840338.74,153.59,770.0
533437.05,4840338.65,153.57,700.0
533437.21,4840338.54,153.44,770.0
533437.75,4840338.56,153.29,810.0
533436.79,4840338.0,154.14,510.0
533436.76,4840338.25,153.85,600.0
533436.77,4840337.68,154.19,650.0
533436.76,4840338.0,154.0,550.0
533436.76,4840338.08,153.88,620.0
533436.8,4840337.8,153.91,600.0
533436.8,4840337.86,153.72,600.0
